DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Lucky Star 1,Lucky Star 2,DrawNumber
2019-04-19,7,8,32,41,49,5,11,2019032
2019-04-23,18,23,27,42,44,2,7,2019033
2019-04-26,14,33,35,47,50,9,11,2019034
2019-04-30,5,12,20,26,48,2,11,2019035
2019-05-03,2,9,20,27,43,5,6,2019036
2019-05-07,7,20,26,32,47,2,11,2019037
2019-05-10,1,4,27,45,48,1,7,2019038
2019-05-14,10,14,17,25,50,2,10,2019039
2019-05-17,16,28,42,43,45,6,7,2019040
2019-05-21,32,33,34,39,47,8,12,2019041
2019-05-24,5,16,23,30,49,6,7,2019042
2019-05-28,7,19,20,28,29,1,5,2019043
2019-05-31,1,23,24,26,35,1,11,2019044
2019-06-04,9,31,32,39,41,2,8,2019045
2019-06-07,1,4,16,20,34,2,5,2019046
2019-06-11,25,27,39,42,46,11,12,2019047
2019-06-14,1,13,30,31,39,2,7,2019048
2019-06-18,12,24,37,40,44,3,7,2019049
2019-06-21,5,8,9,25,39,3,7,2019050
2019-06-25,6,26,27,34,46,1,9,2019051
2019-06-28,1,3,16,33,49,2,11,2019052
2019-07-02,11,19,29,44,45,8,12,2019053
2019-07-05,2,9,20,34,42,6,9,2019054
2019-07-09,7,29,32,36,41,6,7,2019055
2019-07-12,2,31,39,45,47,4,8,2019056
2019-07-16,3,5,13,18,39,7,8,2019057
2019-07-19,13,14,17,26,28,2,7,2019058
2019-07-23,1,14,19,23,38,3,7,2019059
2019-07-26,2,5,27,37,42,3,10,2019060
2019-07-30,15,20,23,27,40,3,6,2019061
2019-08-02,13,22,33,44,50,2,5,2019062
2019-08-06,12,13,29,36,38,4,12,2019063
2019-08-09,2,14,35,41,42,10,11,2019064
2019-08-13,13,29,31,33,40,2,3,2019065
2019-08-16,9,10,27,37,42,1,5,2019066
2019-08-20,20,22,23,24,37,1,4,2019067
2019-08-23,4,17,35,42,45,2,8,2019068
2019-08-27,8,26,35,43,47,1,9,2019069
2019-08-30,25,27,45,46,49,4,6,2019070
2019-09-03,7,11,38,39,44,7,10,2019071
2019-09-06,10,13,22,40,48,2,5,2019072
2019-09-10,3,22,25,30,49,3,6,2019073
2019-09-13,1,12,27,42,47,6,7,2019074
2019-09-17,22,37,43,44,45,1,12,2019075
2019-09-20,8,21,25,38,50,4,8,2019076
2019-09-24,2,33,42,47,48,1,2,2019077
2019-09-27,24,37,41,43,46,2,8,2019078
2019-10-01,2,11,18,40,46,1,4,2019079
2019-10-04,6,9,35,41,44,6,9,2019080
2019-10-08,7,10,15,44,49,3,12,2019081
2019-10-11,2,14,19,42,45,5,6,2019082
2019-10-15,3,28,31,32,34,4,5,2019083
2019-10-18,8,18,22,41,42,11,12,2019084
2019-10-22,2,5,32,33,47,7,8,2019085
2019-10-25,34,37,39,40,50,4,10,2019086
2019-10-29,16,18,28,42,49,5,10,2019087
2019-11-01,2,20,39,44,48,5,7,2019088
2019-11-05,9,14,25,33,48,2,12,2019089
2019-11-08,8,17,20,23,45,2,8,2019090
2019-11-12,1,21,23,25,39,2,4,2019091
2019-11-15,3,13,20,32,34,4,11,2019092
2019-11-19,8,10,15,30,42,4,6,2019093
2019-11-22,3,21,32,34,48,3,11,2019094
2019-11-26,2,3,15,19,34,5,8,2019095
2019-11-29,3,7,12,42,50,6,8,2019096
2019-12-03,18,31,32,38,48,4,12,2019097
2019-12-06,1,3,27,39,46,1,10,2019098
2019-12-10,2,10,19,21,47,2,8,2019099
2019-12-13,9,16,18,23,32,2,10,2019100
2019-12-17,1,7,12,25,49,6,9,2019101
2019-12-20,8,24,30,32,34,3,4,2019102
2019-12-24,3,11,13,14,47,3,6,2019103
2019-12-27,1,7,22,26,35,5,10,2019104
2019-12-31,26,31,33,41,48,2,4,2019105
2020-01-03,5,15,20,36,47,8,12,2020001
2020-01-07,5,8,12,37,43,6,11,2020002
2020-01-10,6,17,32,44,46,2,6,2020003
2020-01-14,21,25,29,39,44,8,9,2020004
2020-01-17,8,19,20,29,44,3,8,2020005
2020-01-21,10,11,24,36,46,3,5,2020006
2020-01-24,3,4,6,9,24,5,8,2020007
2020-01-28,1,19,27,31,38,4,5,2020008
2020-01-31,13,18,20,23,30,2,4,2020009
2020-02-04,21,23,33,35,47,6,7,20200010
2020-02-07,9,15,17,25,40,3,9,20200011
2020-02-11,24,26,32,43,46,6,10,20200012
2020-02-14,5,20,35,41,49,6,10,20200013
2020-02-18,11,32,34,38,47,2,10,20200014
2020-02-21,7,23,30,32,45,5,9,20200015
2020-02-25,1,4,18,27,42,4,6,20200016
2020-02-28,8,11,20,22,23,3,4,20200017
2020-03-03,4,14,27,44,45,1,10,20200018
2020-03-06,15,38,43,45,46,1,11,20200019
2020-03-10,11,23,30,37,43,5,12,20200020
2020-03-13,3,11,21,27,36,9,10,20200021
2020-03-17,5,7,8,16,20,2,12,20200022
2020-03-20,3,9,20,34,40,6,12,20200023
2020-03-24,7,12,26,30,33,10,11,20200024
2020-03-27,11,14,27,41,46,2,3,20200025
2020-03-31,12,17,24,30,36,1,9,20200026
2020-04-03,16,19,34,46,50,2,6,20200027
2020-04-07,4,5,14,33,48,7,12,20200028
2020-04-10,3,10,17,33,39,1,4,20200029
2020-04-14,6,29,34,35,40,4,11,20200030
2020-04-17,16,28,32,37,45,1,11,20200031
2020-04-21,10,11,14,23,28,6,8,20200032
2020-04-24,1,5,19,21,28,4,7,20200033
2020-04-28,15,23,26,28,32,1,5,20200034
2020-05-01,19,20,38,45,47,2,6,20200035
2020-05-05,2,10,22,27,41,2,3,20200036
2020-05-08,8,25,32,33,38,7,9,20200037
2020-05-12,9,16,29,37,39,4,11,20200038
2020-05-15,11,23,32,34,39,1,6,20200039
2020-05-19,5,25,32,37,43,6,7,20200040
2020-05-22,3,18,22,27,32,2,7,20200041
2020-05-26,4,9,14,21,27,4,6,20200042
2020-05-29,4,8,11,19,46,4,8,20200043
2020-06-02,10,12,22,26,49,7,11,20200044
2020-06-05,5,11,17,24,37,3,6,20200045
2020-06-09,5,15,27,36,46,2,8,20200046
2020-06-12,2,24,39,45,46,4,8,20200047
2020-06-16,4,9,11,17,39,2,10,20200048
2020-06-19,5,14,19,24,43,3,11,20200049
2020-06-23,2,12,19,46,49,1,8,20200050
2020-06-26,1,10,12,21,26,5,11,20200051
2020-06-30,1,6,11,28,42,2,10,20200052
2020-07-03,4,16,27,37,39,3,6,20200053
2020-07-07,12,16,23,33,41,8,10,20200054
2020-07-10,15,17,23,30,38,2,7,20200055
2020-07-14,11,22,30,37,47,9,10,20200056
2020-07-17,7,15,27,41,43,7,9,20200057
2020-07-21,14,15,24,29,42,2,4,20200058
2020-07-24,8,9,27,28,50,4,12,20200059
2020-07-28,9,13,15,17,34,2,7,20200060
2020-07-31,21,24,30,46,49,2,5,20200061
2020-08-04,1,2,5,15,42,5,8,20200062
2020-08-07,5,20,21,36,41,6,11,20200063
2020-08-11,8,13,14,42,50,3,9,20200064
2020-08-14,9,10,19,42,49,4,12,20200065
2020-08-18,6,12,17,34,42,5,12,20200066
2020-08-21,10,15,35,44,50,3,5,20200067
2020-08-25,7,18,30,37,39,8,10,20200068
2020-08-28,7,12,16,17,31,7,9,20200069
2020-09-01,4,8,10,33,46,8,11,20200070
2020-09-04,6,22,29,40,43,4,7,20200071
2020-09-08,2,9,31,35,41,9,12,20200072
2020-09-11,34,38,42,43,45,9,12,20200073
2020-09-15,16,20,25,30,38,6,8,20200074
2020-09-18,2,10,19,25,45,1,7,20200075
2020-09-22,16,25,28,39,40,1,6,20200076
2020-09-25,19,23,34,37,45,1,7,20200077
2020-09-29,4,14,16,41,44,11,12,20200078
2020-10-02,6,12,15,40,45,3,9,20200079
2020-10-06,4,21,36,41,47,9,11,20200080
2020-10-09,11,15,35,41,50,5,8,20200081
2020-10-13,5,14,38,41,46,1,10,20200082
2020-10-16,15,33,38,40,50,3,6,20200083
2020-10-20,5,6,15,37,42,3,4,20200084
2020-10-23,10,15,19,21,23,3,12,20200085
2020-10-27,13,15,28,32,44,3,12,20200086
2020-10-30,12,16,20,21,28,3,9,20200087
2020-11-03,5,7,18,20,30,6,7,20200088
2020-11-06,7,12,37,40,50,1,2,20200089
2020-11-10,3,19,29,32,38,5,12,20200090
2020-11-13,1,5,17,28,31,1,10,20200091
2020-11-17,16,19,25,30,44,2,6,20200092
2020-11-20,28,29,39,48,50,5,7,20200093
2020-11-24,25,33,38,42,50,8,12,20200094
2020-11-27,2,5,8,14,16,8,9,20200095
2020-12-01,14,20,29,47,49,4,12,20200096
2020-12-04,14,20,27,34,38,1,11,20200097
2020-12-08,1,4,21,24,46,2,12,20200098
2020-12-11,6,9,13,24,41,3,12,20200099
2020-12-15,9,13,21,29,35,1,2,20200100
2020-12-18,2,3,13,17,21,7,8,20200101
2020-12-22,2,10,16,42,50,4,11,20200102
2020-12-25,16,21,27,30,32,3,5,20200103
2020-12-29,7,32,39,40,45,3,8,20200104
2021-01-01,16,28,32,44,48,1,9,20211001
2021-01-05,12,34,37,38,42,1,3,20211002
2021-01-08,18,23,37,41,42,4,6,20211003
2021-01-12,2,10,18,34,35,6,9,20211004
2021-01-15,4,10,27,38,40,3,11,20211005
2021-01-19,25,27,31,35,43,5,6,20211006
2021-01-22,8,16,42,44,47,6,7,20211007
2021-01-26,5,7,25,37,40,2,8,20211008
2021-01-29,1,5,27,36,42,1,6,20211009
2021-02-02,18,20,35,38,48,9,12,20211010
2021-02-05,12,19,37,44,45,2,6,20211011
2021-02-09,5,10,24,31,37,9,10,20211012
2021-02-12,7,23,30,32,36,8,12,20211013
2021-02-16,5,9,25,29,30,6,7,20211014
2021-02-19,4,12,25,46,48,7,12,20211015
2021-02-23,9,18,30,39,45,1,3,20211016
2021-02-26,6,12,22,29,33,6,11,20211017
2021-03-02,2,19,24,26,49,6,7,20211018
2021-03-05,4,5,39,46,48,7,10,20211019
2021-03-09,1,16,21,32,33,11,12,20211020
2021-03-12,4,6,9,11,44,10,11,20211021
2021-03-16,23,25,32,35,47,2,6,20211022
2021-03-19,3,9,35,43,44,1,10,20211023
2021-03-23,2,26,29,36,49,3,9,20211024
2021-03-26,10,12,37,49,50,3,8,20211025
2021-03-30,24,27,28,29,42,4,8,20211026
2021-04-02,4,21,34,40,47,2,5,20211027
2021-04-06,2,21,37,38,50,7,8,20211028
2021-04-09,2,8,32,35,44,8,11,20211029
2021-04-13,16,20,31,47,50,2,8,20211030
2021-04-16,6,11,29,40,48,5,9,20211031
2021-04-20,5,17,28,41,46,10,11,20211032
2021-04-23,3,14,15,19,29,2,8,20211033
2021-04-27,13,14,24,35,49,1,10,20211034
2021-04-30,1,16,24,28,46,2,11,20211035
2021-05-04,3,10,13,28,46,4,11,20211036
2021-05-07,14,22,33,38,47,8,9,20211037
2021-05-11,14,25,34,43,46,5,6,20211038
2021-05-14,6,16,18,29,38,6,11,20211039
2021-05-18,5,13,38,39,40,4,12,20211040
2021-05-21,2,9,13,15,35,3,10,20211041
2021-05-25,1,21,26,30,38,2,8,20211042
2021-05-28,11,13,16,34,40,1,12,20211043
2021-06-01,3,10,26,35,44,6,7,20211044
2021-06-04,7,20,36,40,46,2,4,20211045
2021-06-08,2,11,26,36,47,7,9,20211046
2021-06-11,9,17,21,33,39,7,11,20211047
2021-06-15,11,21,26,30,31,2,3,20211048
2021-06-18,11,20,27,30,41,3,5,20211049
2021-06-22,6,24,26,27,41,3,8,20211050
2021-06-25,1,29,30,33,36,3,12,20211051
2021-06-29,6,12,20,24,48,5,6,20211052
2021-07-02,9,14,29,38,49,7,10,20211053
2021-07-06,2,5,21,27,42,9,11,20211054
2021-07-09,6,19,36,37,49,4,11,20211055
2021-07-13,5,6,8,11,22,3,4,20211056
2021-07-16,5,16,42,47,49,3,11,20211057
2021-07-20,3,12,19,41,48,6,9,20211058
2021-07-23,23,24,26,34,50,2,4,20211059
2021-07-27,5,9,19,21,25,10,12,20211060
2021-07-30,10,23,33,35,37,5,10,20211061
2021-08-03,17,21,23,45,46,7,11,20211062
2021-08-06,7,14,21,26,32,4,12,20211063
2021-08-10,9,37,47,48,49,2,7,20211064
2021-08-13,6,12,44,47,49,8,12,20211065
2021-08-17,12,31,41,42,47,4,6,20211066
2021-08-20,3,9,19,20,23,9,11,20211067
2021-08-24,19,21,36,44,50,3,10,20211068
2021-08-27,2,3,31,46,50,8,12,20211069
2021-08-31,5,13,17,32,43,2,10,20211070
2021-09-03,5,7,13,29,35,3,7,20211071
2021-09-07,7,19,35,42,43,7,9,20211072
2021-09-10,1,6,7,18,28,2,8,20211073
2021-09-14,12,18,35,38,45,2,8,20211074
2021-09-17,5,7,8,10,34,1,9,20211075
2021-09-21,20,25,26,30,38,2,8,20211076
2021-09-24,2,12,20,27,41,10,12,20211077
2021-09-28,6,7,12,33,39,1,7,20211078
2021-10-01,1,15,19,26,48,6,12,20211079
2021-10-05,11,13,14,36,45,7,9,20211080
2021-10-08,1,10,23,42,46,3,5,20211081
2021-10-12,6,13,22,45,49,10,11,20211082
2021-10-15,21,26,31,34,49,2,5,20211083
2021-10-19,4,20,36,40,41,1,6,20211084
2021-10-22,12,17,22,33,39,2,12,20211085
2021-10-26,12,15,20,42,44,1,2,20211086
2021-10-29,10,15,28,32,49,3,9,20211087
2021-11-02,2,3,17,29,43,1,4,20211088
2021-11-05,2,12,25,30,41,8,11,20211089
2021-11-09,17,25,26,33,36,1,8,20211090
2021-11-12,2,9,15,47,50,6,9,20211091
2021-11-16,9,19,21,32,36,3,4,20211092
2021-11-19,22,26,38,47,50,2,6,20211093
2021-11-23,17,21,36,42,46,7,10,20211094
2021-11-26,1,20,41,42,50,3,7,20211095
2021-11-30,19,20,26,33,43,1,4,20211096
2021-12-03,21,22,29,32,46,9,10,20211097
2021-12-07,22,31,38,46,47,7,11,20211098
2021-12-10,11,21,33,38,42,2,8,20211099
2021-12-14,19,21,37,47,48,3,6,20211100
2021-12-17,1,2,15,30,35,2,7,20211101
2021-12-21,12,17,21,34,38,2,3,20211102
2021-12-24,2,26,28,34,41,5,10,20211103
2021-12-28,4,6,15,17,29,9,12,20211104
2021-12-31,7,22,25,43,49,6,7,20211105
2022-01-04,18,28,35,36,41,6,11,20222001
2022-01-07,2,14,37,44,50,7,11,20222002
2022-01-11,4,23,32,33,44,9,12,20222003
2022-01-14,6,17,25,31,46,9,12,20222004
2022-01-18,3,12,19,24,30,2,5,20222005
